Model,target,exact_accuracy,mean_cfm
Initial,I,0.058823529411764705,0.4766055023407964
Initial,J,0.0,0.5137912446293693
Initial,K,0.0136986301369863,0.5547290684726538
Initial,L,0.07042253521126761,0.5580092017436673
Initial,M,0.04285714285714286,0.557621287442716
Initial,N,0.012658227848101266,0.44947959296432866
Initial,O,0.06382978723404255,0.46174787352822394
Initial,P,0.0,0.45832006146063975
Initial,Q,0.028169014084507043,0.5918899658776834
Initial,R,0.038461538461538464,0.4892269542297823
Initial,S,0.04225352112676056,0.5239011211659798
Initial,T,0.017543859649122806,0.4928966184058249
Initial,U,0.0425531914893617,0.444713869776448
Initial,V,0.06382978723404255,0.4375715940113872
Initial,W,0.07017543859649122,0.49508878061509637
Initial,X,0.03389830508474576,0.5275878268210482
Initial,Y,0.017241379310344827,0.5222500728278993
Initial,Z,0.05063291139240506,0.5192747704847481
Initial,[,0.018867924528301886,0.4015639635367715
Initial,\,0.0,0.4047312788547193
Initial,],0.029411764705882353,0.3860754441636795
Initial,^,0.03333333333333333,0.5785034760200795
Initial,_,0.023255813953488372,0.33406918458938045
Initial,`,0.02564102564102564,0.43671149950707544
Initial,a,0.07993197278911565,0.4945044159635918
Initial,b,0.0196078431372549,0.4834397873901911
Initial,c,0.06072874493927125,0.47757904213889973
Initial,d,0.027649769585253458,0.48507384871861053
Initial,e,0.04271844660194175,0.5064100119657846
Initial,f,0.06666666666666667,0.4986229266376325
Initial,g,0.023255813953488372,0.5250058045500541
Initial,h,0.02072538860103627,0.502158494169314
Initial,i,0.051001821493624776,0.46872051213902705
Initial,j,0.07526881720430108,0.5335984084548451
Initial,k,0.05714285714285714,0.5654025842128452
Initial,l,0.03857566765578635,0.4900886958990468
Initial,m,0.05,0.5332902597273727
Initial,n,0.024861878453038673,0.49238130797461055
Initial,o,0.01834862385321101,0.4901938343182272
Initial,p,0.018433179723502304,0.5072490572485222
Initial,q,0.024691358024691357,0.5516160783485946
Initial,r,0.03355704697986577,0.5115805737243492
Initial,s,0.0165016501650165,0.46760408495572336
Initial,t,0.06284153005464481,0.5387622313544128
Initial,u,0.10557184750733138,0.4786393287773312
Initial,v,0.030612244897959183,0.47777178553739175
Initial,w,0.06481481481481481,0.5379288479456178
Initial,x,0.03278688524590164,0.5515086515327595
Initial,y,0.030303030303030304,0.4535816295508809
Initial,z,0.028985507246376812,0.49721249850641425
Initial,{,0.0,0.4495487666847227
Initial,|,0.05405405405405406,0.5054776304776305
Initial,},0.058823529411764705,0.5704496868907208
Initial,~,0.06451612903225806,0.49238200656606734
